PCRQPLX_A_e1_comp_pres1,PCRQPLX_A_e1_comp_pres2,PCRQPLX_A_e1_comp_temp,PCRQPLX_A_e1_current,PCRQPLX_A_e1_speed,PCRQPLX_A_e2_comp_pres1,PCRQPLX_A_e2_comp_pres2,PCRQPLX_A_e2_comp_temp,PCRQPLX_A_e2_current,PCRQPLX_A_e2_speed,PCRQPLX_A_e3_comp_pres1,PCRQPLX_A_e3_comp_pres2,PCRQPLX_A_e3_comp_temp,PCRQPLX_A_e3_current,PCRQPLX_A_e3_speed,PCRQPLX_A_e4_comp_pres1,PCRQPLX_A_e4_comp_pres2,PCRQPLX_A_e4_comp_temp,PCRQPLX_A_e4_current,PCRQPLX_A_e4_speed,PCRQPLX_A_e5_comp_pres1,PCRQPLX_A_e5_comp_pres2,PCRQPLX_A_e5_comp_temp,PCRQPLX_A_e5_current,PCRQPLX_A_e5_speed,PCRQPLX_A_e1z1_temp,PCRQPLX_A_e1z2_temp,PCRQPLX_A_e1z3_temp,PCRQPLX_A_e2z1_temp,PCRQPLX_A_e2z2_temp,PCRQPLX_A_e2z3_temp,PCRQPLX_A_e3z1_temp,PCRQPLX_A_e3z2_temp,PCRQPLX_A_e3z3_temp,PCRQPLX_A_e4z1_temp,PCRQPLX_A_e4z2_temp,PCRQPLX_A_e4z3_temp,order_id,start_time,PCRQPLX_A_takeaway_speed,Status
57.603,72.879,79.8,151.938,12.012,2.11,41.313,80.4,328.919,12,30.978,17.285,-200,221.219,11.94,-0.988,8.439,79,0,0,16,0,83.4,11.033,26,84,73,76,82,74,71,84,74,75,84,74,7.6,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
57.951,74.588,79.8,151.861,11.998,1.923,42.355,80.4,333.113,12,31.219,17.931,-200,219.75,11.352,-1.122,8.412,79.1,0,0,16,0,83.4,10.995,26,84,73,76,82,75,71,84,74,75,84,74,7.6,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
58.004,76.805,79.8,153.001,11.979,2.11,44.518,80.4,332.783,11.999,29.029,15.831,-200,185.932,4.463,-1.255,8.412,79,0,0,16,0,83.4,10.941,26,84,73,76,83,75,71,84,74,75,84,74,7.6,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
58.244,75.763,79.9,152.896,12.001,2.136,42.809,80.4,334.611,12,9.614,8.965,-200,0,0.051,-1.015,8.385,79.1,0,0,16,0,83.4,10.982,26,84,73,76,83,75,71,84,74,75,84,74,7.6,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
58.618,74,79.9,151.955,12.05,2.911,41.767,80.4,334.582,11.999,8.492,8.831,-200,0,-0.068,-1.202,8.359,79.1,0,0,16,0,83.5,11.012,26,84,73,76,83,75,71,84,74,75,84,74,7.7,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
58.405,73.119,79.9,152.076,11.993,2.003,42.942,80.5,336.226,12,8.012,8.777,-200,0,-0.042,-1.362,8.359,79.1,0,0,16,0,83.5,10.995,26,85,73,76,83,75,71,84,74,75,84,74,7.7,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
55.787,74.214,79.9,151.479,11.985,2.964,45.025,80.6,334.266,12,7.691,8.696,-200,0,-0.029,-1.202,8.385,79.1,0,0,16,0,83.5,10.932,26,85,73,77,83,75,71,85,74,75,84,75,7.7,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
57.016,77.259,79.9,152.298,11.999,5.768,43.102,80.7,335.85,12,7.691,8.669,-200,0,-0.023,-1.228,8.332,79.1,0,0,15,0,83.5,10.993,26,85,73,77,83,75,71,85,74,75,84,75,7.7,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
58.324,73.894,79.9,151.585,12.035,10.655,43.129,80.8,338.166,11.999,7.291,8.669,-200,0,-0.018,-1.362,8.305,79.1,0,0,16,0,83.5,10.953,26,85,73,77,83,75,71,85,74,75,84,75,7.7,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
58.752,78.033,80,152.262,11.99,19.815,42.702,80.9,342.914,12,7.21,8.615,-200,0,-0.015,-1.362,8.332,79.1,0,0,15,0,83.5,10.962,26,85,73,77,83,75,71,85,74,76,84,75,7.7,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
59.099,80.383,79.9,152.4,11.994,33.862,44.518,80.9,346.409,12,6.917,8.615,-200,0,-0.013,-1.202,8.332,79.1,0,0,15,0,83.6,10.987,26,85,74,77,83,75,71,85,75,76,84,75,7.7,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
58.458,80.543,79.9,152.425,12.027,39.871,43.717,81,347.792,11.998,6.89,8.615,-200,0,-0.011,-1.255,8.305,79.2,0,0,14,0,83.6,10.946,26,85,74,77,83,75,72,85,75,76,84,75,7.7,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
58.458,74.989,79.9,152.211,12.015,42.782,42.729,81,351.009,11.994,6.543,8.588,-200,0,-0.01,-1.389,8.279,79.1,0,0,13,0,83.6,10.922,26,85,74,77,84,75,72,85,75,76,84,75,7.7,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
58.778,69.3,79.9,151.097,12.01,38.562,42.301,81,351.59,11.975,6.516,8.615,-200,0,-0.009,-1.389,8.279,79.2,0,0,12,0,83.6,10.975,26,85,74,77,84,75,72,85,75,76,84,75,7.8,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
58.511,74.908,79.9,152.012,11.981,40.459,43.984,81.1,351.4,11.887,6.409,8.588,-200,0,-0.008,-1.389,8.279,79.2,0,0,12,0,83.7,10.91,26,85,74,77,84,75,72,85,75,76,84,75,7.8,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
58.778,80.063,79.9,152.235,11.987,41.367,45.88,81.1,351.288,11.484,6.276,8.562,-200,0,-0.008,-1.175,8.252,79.2,0,0,12,0,83.7,10.941,26,86,74,78,84,76,72,85,75,76,84,75,7.8,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
19.388,49.725,79.9,0,-0.119,14.928,29.776,81.1,0,0.046,6.249,8.562,-200,0,-0.007,-1.255,8.252,79.2,0,0,-6,0,83.7,0,0,86,74,78,84,76,72,85,75,76,85,75,7.8,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
14.394,44.731,79.9,0,-0.036,13.112,29.269,81.1,0,-0.051,6.142,8.562,-200,0,-0.007,-1.389,8.225,79.2,0,0,-8,0,83.8,0,0,86,74,78,84,76,72,85,75,76,85,75,7.8,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
12.098,41.767,79.9,0,-0.022,12.044,29.216,81.1,0,-0.033,6.089,8.562,-200,0,-0.005,-1.175,8.225,79.2,0,0,-9,0,83.7,0,0,86,74,78,84,76,72,85,75,76,85,76,7.8,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
10.869,39.631,79.9,0,-0.016,11.296,29.242,81.1,0,-0.024,6.116,8.562,-200,0,-0.006,-1.389,8.252,79.2,0,0,-9,0,83.8,0,0,86,74,78,84,76,72,85,75,76,85,76,7.8,WO_QEX_02082022_0010,02-08-2022 15:43,0,PushOut Time Period
9.881,38.002,79.9,0,-0.012,10.655,29.109,81.2,0,-0.018,5.742,8.562,-200,0,-0.006,-1.389,8.225,79.2,0,0,-10,0,83.8,0,0,86,74,78,84,76,72,86,75,76,85,76,7.8,WO_QEX_02082022_0010,02-08-2022 15:44,0,PushOut Time Period
9,36.64,79.8,0,-0.01,11.056,29.109,81.2,0,-0.015,5.982,8.535,-200,0,-0.005,-1.389,8.225,79.2,0,0,-10,0,83.8,0,0,86,74,78,84,76,72,86,75,77,85,76,7.8,WO_QEX_02082022_0010,02-08-2022 15:44,0,PushOut Time Period
8.572,35.491,79.8,0,-0.009,10.468,29.029,81.2,0,-0.013,5.742,8.562,-200,0,0,-1.389,8.225,79.2,0,0,-10,0,83.8,0,0,86,74,78,85,76,72,86,75,77,85,76,7.9,WO_QEX_02082022_0010,02-08-2022 15:44,0,PushOut Time Period
7.878,34.503,79.8,0,-0.006,10.255,29.029,81.2,0,-0.011,5.742,8.535,-200,0,0,-1.389,8.225,79.3,0,0,-10,0,83.8,0,0,86,74,78,85,76,72,86,75,77,85,76,7.9,WO_QEX_02082022_0010,02-08-2022 15:44,0,PushOut Time Period
7.798,33.569,79.8,0,-0.005,10.041,28.975,81.2,0,-0.009,5.742,8.562,-200,0,0,-1.389,8.199,79.2,0,0,-11,0,83.9,0,0,86,74,78,85,76,72,86,76,77,85,76,7.9,WO_QEX_02082022_0010,02-08-2022 15:44,0,PushOut Time Period
7.371,32.821,79.8,0,-0.005,9.774,28.975,81.2,0,-0.008,5.394,8.535,-200,0,0,-1.389,8.225,79.3,0,0,-10,0,83.9,0,0,86,75,79,85,76,72,86,76,77,85,76,7.9,WO_QEX_02082022_0010,02-08-2022 15:44,0,PushOut Time Period
6.756,32.073,79.8,0,-0.005,9.641,28.922,81.2,0,-0.007,5.421,8.562,-200,0,0,-1.389,8.225,79.3,0,0,-11,0,83.9,0,0,87,75,79,85,76,72,86,76,77,85,76,7.9,WO_QEX_02082022_0010,02-08-2022 15:44,0,PushOut Time Period
6.623,31.432,79.8,0,0,9.48,28.975,81.2,0,-0.007,5.448,8.562,-200,0,0,-1.469,8.199,79.3,0,0,-11,0,83.9,0,0,87,75,79,85,76,73,86,76,77,85,76,7.9,WO_QEX_02082022_0010,02-08-2022 15:44,0,PushOut Time Period
6.409,30.845,79.8,0,0,9.107,28.975,81.2,0,-0.006,5.368,8.508,-200,0,0,-1.389,8.199,79.3,0,0,-11,0,83.9,0,0,87,75,79,85,76,73,86,76,77,85,76,7.9,WO_QEX_02082022_0010,02-08-2022 15:44,0,PushOut Time Period
6.222,30.257,79.8,0,0,9.107,28.975,81.2,0,-0.006,5.341,8.535,-200,0,0,-1.389,8.225,79.3,0,0,-11,0,83.9,0,0,87,75,79,85,77,73,86,76,77,85,76,7.9,WO_QEX_02082022_0010,02-08-2022 15:44,0,PushOut Time Period
